127.0.0.1 - - [14/Oct/2022:13:45:36 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2022:13:45:37 +0900] "GET /practice01/test02.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [14/Oct/2022:13:45:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:52 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:01 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:01 +0900] "GET /practice01/index.jsp HTTP/1.1" 500 4135
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:05 +0900] "GET /practice01/index.jsp HTTP/1.1" 500 4135
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:14 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:00:11 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:05:40 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:05:49 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:06:08 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:06:09 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:06:25 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:08:48 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:11:14 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:12:08 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:10 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:10 +0900] "GET /practice01/index.jsp HTTP/1.1" 500 4135
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:54 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:56 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:57 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:57 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:14:57 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:38 +0900] "GET /practice01/index.jsp HTTP/1.1" 500 4135
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:56 +0900] "GET /practice01/loginPro.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:16:10 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 883
